aX,aY,aZ,gX,gY,gZ
0.048,0.003,1.031,-10.437,-3.418,2.869
0.05,-0.002,1.01,-8.057,-1.16,2.808
0.063,-0.008,0.991,-6.226,1.038,2.441
0.077,0.002,0.973,-5.127,2.319,1.831
0.081,0.021,0.962,-3.723,2.808,0.793
0.076,0.034,0.955,-1.648,2.808,0.305
0.074,0.032,0.949,1.343,3.174,0.244
0.076,0.012,0.948,3.418,3.418,0.183
0.087,-0.016,0.942,2.136,2.808,0.122
0.088,-0.012,0.946,-1.343,1.282,-0.854
0.074,-0.007,0.958,-4.333,-0.366,-1.16
0.068,-0.005,0.972,-5.798,-1.526,-0.732
0.063,0.004,0.978,-5.432,-1.648,-0.488
0.06,0.015,0.985,-3.235,-0.977,-0.427
0.061,-0.001,0.989,-0.305,-0.183,-0.671
0.06,-0.018,0.993,2.136,1.038,-0.977
0.06,-0.016,0.991,4.211,1.831,-1.465
0.058,-0.013,0.991,5.92,2.38,-1.709
0.056,-0.01,0.996,8.179,2.991,-1.709
0.057,-0.019,1,10.193,3.54,-1.77
0.062,-0.032,0.998,10.315,4.15,-2.136
0.068,-0.039,0.989,9.399,4.395,-2.563
0.068,-0.036,0.981,7.69,4.272,-2.686
0.065,-0.028,0.98,6.226,3.967,-2.625
0.083,-0.03,0.981,5.554,3.113,-2.441
0.059,-0.037,0.987,5.493,2.747,-2.441
0.065,-0.042,0.985,6.287,4.639,-2.441
0.087,-0.064,0.975,7.141,5.066,-2.258
0.09,-0.097,0.975,4.517,3.906,-1.953
0.086,-0.087,0.98,1.038,2.869,-1.343
0.084,-0.072,0.993,-1.831,2.563,-0.549
0.088,-0.066,1,-3.235,2.563,0.244
0.095,-0.062,0.998,-4.395,2.563,0.61
0.092,-0.052,0.99,-5.127,1.953,0.977
0.089,-0.041,0.988,-5.493,1.465,1.465
0.082,-0.026,0.987,-5.432,1.526,1.648
0.087,-0.011,0.982,-4.883,1.892,1.465
0.09,-0.003,0.985,-4.15,1.648,1.282
0.085,0.004,0.992,-3.235,1.16,1.404
0.084,0.002,0.992,-1.892,1.038,1.526
0.085,-0.002,0.992,-1.221,0.854,1.465
0.084,0.001,0.989,-0.854,0.916,1.16
0.088,0.003,0.987,-0.427,0.549,0.854
0.089,-0.006,0.988,-0.732,0.122,0.549
0.087,-0.01,0.989,-1.343,-0.305,-0.061
0.088,-0.007,0.986,-1.465,-0.61,-0.183
-0.169,0.806,1.22,-4.089,-53.894,-41.26
-0.149,0.461,1.421,57.922,-25.513,-36.316
0.089,-0.226,1.469,99.915,8.179,-30.212
0.338,-0.603,1.398,92.285,31.738,-24.902
0.448,-0.633,1.255,45.471,33.203,-30.029
0.375,-0.379,1.093,-10.62,17.151,-36.194
0.267,-0.069,0.991,-49.561,-2.991,-40.344
0.146,0.133,0.979,-64.758,-16.479,-41.992
0.072,0.182,0.994,-59.265,-17.639,-41.382
0.117,0.155,0.992,-44.006,-9.094,-39.429
0.148,0.118,0.959,-29.907,-1.892,-37.659
0.17,0.07,0.919,-20.935,1.221,-37.292
0.168,0.065,0.892,-15.442,0,-38.025
0.198,0.106,0.876,-11.902,-4.395,-39.795
0.111,0.049,0.895,-6.287,-13.672,-38.452
0.053,-0.016,0.928,-1.282,-15.076,-38.635
0.109,-0.129,0.941,3.052,-9.46,-35.095
0.129,-0.196,0.971,0.366,-8.423,-36.804
0.104,-0.185,1.013,-5.981,-9.46,-39.978
0.088,-0.16,1.056,-10.803,-9.827,-38.208
0.083,-0.176,1.067,-12.207,-9.583,-33.325
0.087,-0.217,1.073,-12.756,-8.728,-30.396
0.097,-0.233,1.065,-14.404,-7.996,-27.161
0.104,-0.224,1.047,-16.479,-7.69,-22.888
0.094,-0.196,1.023,-18.25,-8.484,-18.921
0.073,-0.174,1.006,-18.127,-8.118,-15.198
0.073,-0.16,0.977,-15.32,-6.226,-12.695
0.083,-0.161,0.959,-11.536,-5.615,-9.705
0.071,-0.171,0.954,-7.874,-5.615,-6.47
0.068,-0.173,0.955,-4.639,-4.211,-3.418
0.072,-0.16,0.968,-1.709,-2.136,-1.221
0.075,-0.156,0.985,0.244,-0.549,0.732
0.078,-0.156,0.999,0.671,0.61,2.319
0.085,-0.134,0.996,-0.366,1.221,3.723
0.091,-0.088,0.996,-2.197,0.916,5.127
0.098,-0.059,1.001,-4.456,0.427,6.409
0.103,-0.046,1.002,-7.263,-2.197,7.141
0.055,-0.017,1.008,-10.132,-3.052,6.958
0.082,0.019,1.004,-11.23,-0.061,6.653
0.087,0.047,1,-11.169,0.183,5.92
0.078,0.065,0.993,-10.315,0.183,4.944
0.087,0.057,0.981,-8.728,0.244,4.028
0.086,0.039,0.966,-7.507,-0.122,3.479
0.073,0.048,0.955,-6.836,-0.305,2.686
0.097,0.038,0.946,-6.531,-0.61,2.563
0.101,0.037,0.959,-6.714,-1.892,2.38
0.103,0.042,0.982,-6.287,-2.747,1.892
0.105,0.043,0.995,-5.676,-3.174,1.343
0.105,0.041,0.992,-4.7,-2.93,0.732
0.084,0.041,0.989,-3.296,-2.075,0.305
0.106,0.068,0.982,-1.404,1.465,-1.221
0.137,0.055,0.972,0.427,1.648,-1.709
0.125,0.046,0.967,0.305,-0.427,-2.075
0.114,0.023,0.969,-0.366,-2.319,-2.014
0.114,0.006,0.971,-2.075,-2.563,-2.075
0.106,-0.001,0.98,-4.211,-2.197,-2.014
0.131,0.004,0.983,-5.493,-0.854,-1.709
0.124,0.004,0.985,-5.493,-2.014,-1.343
0.107,0.017,0.99,-4.578,-2.319,-1.526
0.118,0.013,0.991,-2.441,-1.282,-0.916
0.118,0.006,0.992,-0.183,-0.732,-0.305
0.121,0.009,0.993,0.977,0,0.305
0.13,0.014,0.991,1.038,0.427,0.793
0.121,0.013,0.996,0,0.305,0.793
0.117,0.031,1,-1.465,0.671,0.305
0.114,0.044,1.004,-1.831,1.526,0.244
0.121,0.048,1,-1.526,2.747,0.305
0.142,0.059,0.983,-1.221,2.625,0.305
0.126,0.054,0.972,-1.099,0.122,0.793
0.113,0.046,0.959,-1.221,-0.854,1.16
0.118,0.043,0.956,-1.038,-0.854,1.404
0.119,0.037,0.956,-1.038,-0.427,1.465
0.122,0.028,0.958,-0.671,-0.061,1.099
0.122,0.031,0.962,0.305,-0.366,0.488
0.115,0.037,0.963,1.099,-0.977,0.244
0.108,0.036,0.962,2.258,-1.038,-0.122
0.111,0.02,0.959,3.296,-0.854,0.183
0.113,0.014,0.96,3.113,-0.732,0.61
0.114,0.004,0.96,1.648,-1.16,0.977
0.113,0.014,0.97,-0.427,-1.77,0.793
0.105,0.01,0.983,-1.343,-2.319,0.732
0.102,0.003,0.988,-1.16,-1.953,0.977
0.104,0.007,0.989,-0.427,-1.282,1.404
0.107,0.002,0.989,0.305,-0.854,1.892
0.097,0.001,0.99,0.977,-0.732,2.258
0.102,0.006,0.988,1.404,-0.061,2.563
0.104,0.012,0.985,1.953,0.061,2.319
0.099,0.016,0.984,2.502,0.183,2.197
0.099,0.017,0.977,2.991,0.366,2.136
0.106,0.019,0.979,2.808,0.671,2.258
0.109,0.006,0.984,1.831,0.488,2.319
0.111,-0.003,0.988,-1.099,0,2.441
0.106,0.008,0.986,-4.089,-0.366,2.686
0.103,0.027,0.987,-6.042,-0.366,2.502
0.101,0.043,0.984,-6.653,-0.061,2.625
0.101,0.05,0.977,-5.676,0.244,2.686
0.099,0.046,0.971,-4.211,0.244,2.686
0.095,0.045,0.972,-2.38,0.305,2.747
0.099,0.044,0.976,-1.16,0.244,2.625
0.099,0.043,0.984,-0.305,0.244,2.502
0.099,0.042,0.986,0.366,0.305,2.258
0.102,0.044,0.986,0.061,0.488,1.465
0.105,0.042,0.982,-0.61,0.488,0.793
0.105,0.048,0.978,-0.916,0.305,0.671
0.106,0.048,0.974,-0.488,0.305,0.366
0.104,0.044,0.978,0.671,0.061,0.305
0.107,0.036,0.974,1.465,0.244,0.183
0.111,0.029,0.972,1.953,0.244,0.183
0.109,0.025,0.971,2.258,0.122,0.122
0.107,0.016,0.974,2.502,0.122,-0.061
0.11,0,0.975,2.136,0,0.244
0.112,-0.008,0.974,0.793,0.305,0.549
0.112,-0.001,0.975,-0.488,0.061,0.732
0.107,0.013,0.985,-1.221,-0.244,1.16
0.103,0.023,0.999,-0.854,-0.061,1.343
0.108,0.007,0.996,-0.244,0.488,1.526
0.113,0.002,0.983,-0.916,0.793,2.014
0.118,0.007,0.977,-2.93,0.366,2.136
0.105,0.021,0.976,-5.249,-1.038,2.136
0.518,-0.744,1.254,62.866,31.25,-12.39
0.474,-0.466,1.139,7.202,17.761,-17.944
0.357,-0.148,1.062,-37.231,-1.465,-22.644
0.253,0.004,1.024,-54.749,-16.052,-23.01
0.194,-0.005,1.043,-52.917,-19.226,-21.301
0.217,-0.055,1.041,-44.312,-12.573,-17.761
0.214,-0.074,1.015,-38.696,-4.578,-15.93
0.224,-0.016,0.964,-37.72,2.38,-17.09
