aX,aY,aZ,gX,gY,gZ
0.441,0.591,0.671,2.075,-7.751,-3.357
0.435,0.586,0.672,0,-7.263,-3.052
0.438,0.568,0.666,-1.16,-6.47,-2.93
0.435,0.548,0.667,-1.648,-5.981,-2.075
0.429,0.544,0.663,-2.319,-5.493,-1.099
0.42,0.555,0.653,-2.869,-4.944,-0.061
0.413,0.572,0.641,-2.747,-4.456,0.793
0.409,0.593,0.618,-2.136,-3.54,0.793
0.422,0.603,0.599,-1.465,-2.991,0.488
0.432,0.612,0.603,0.244,-2.991,0.366
0.424,0.615,0.608,1.831,-3.54,0.427
0.419,0.618,0.606,2.808,-4.272,0.549
0.423,0.625,0.608,3.601,-4.333,0.488
0.43,0.63,0.609,3.845,-4.395,0.244
0.435,0.617,0.608,3.601,-4.211,0.122
0.446,0.614,0.609,3.418,-3.906,0.854
0.451,0.622,0.616,3.357,-3.784,1.709
0.453,0.626,0.633,3.113,-3.845,2.258
0.452,0.628,0.648,3.174,-3.723,2.686
0.45,0.63,0.659,2.747,-2.869,2.869
0.447,0.637,0.663,2.075,-1.77,2.747
0.447,0.638,0.658,1.526,-0.671,3.052
0.453,0.639,0.649,1.404,0.427,3.113
0.459,0.642,0.635,1.587,1.343,3.418
0.46,0.65,0.634,1.831,1.892,3.784
0.458,0.654,0.623,2.014,2.258,3.662
0.451,0.643,0.614,1.892,2.747,3.174
0.444,0.639,0.612,1.526,2.686,3.357
0.432,0.637,0.618,0.61,2.747,3.357
0.421,0.636,0.624,-0.732,2.502,3.418
0.418,0.64,0.623,-1.709,2.625,3.174
0.423,0.639,0.615,-2.075,2.441,2.625
0.433,0.626,0.61,-2.014,2.38,2.502
0.44,0.614,0.607,-1.709,2.319,2.441
0.44,0.614,0.611,-1.526,2.075,2.869
0.438,0.617,0.607,-1.709,2.258,2.93
0.438,0.605,0.599,-1.709,2.686,2.747
0.437,0.596,0.598,-1.77,2.808,2.991
0.433,0.6,0.604,-2.075,2.563,3.418
0.429,0.606,0.614,-2.197,2.258,3.906
0.424,0.615,0.622,-1.831,1.892,4.211
0.417,0.626,0.629,-0.854,2.014,4.272
0.413,0.634,0.634,0,2.258,4.089
0.412,0.637,0.635,0.671,2.625,3.845
0.418,0.636,0.631,1.16,2.991,3.296
0.422,0.631,0.627,1.648,2.991,3.174
0.423,0.626,0.618,1.282,2.869,2.93
0.427,0.628,0.612,0.183,2.869,2.747
0.435,0.631,0.616,-1.038,2.441,2.625
0.436,0.639,0.614,-1.953,2.075,2.136
0.434,0.637,0.609,-2.319,1.831,1.77
0.431,0.633,0.602,-1.892,1.587,1.648
0.431,0.632,0.594,-1.16,1.404,1.465
0.441,0.632,0.591,-0.183,1.038,1.526
0.439,0.632,0.601,0.488,0.549,1.587
0.433,0.632,0.611,0.916,-0.061,1.404
0.431,0.633,0.619,1.526,-0.183,1.282
0.428,0.629,0.626,2.014,-0.183,1.282
0.425,0.626,0.624,2.38,-0.122,1.038
0.43,0.627,0.617,2.502,-0.244,0.732
0.439,0.627,0.621,2.014,-0.244,0.549
0.438,0.62,0.63,1.16,-0.732,0.488
0.436,0.621,0.634,0.061,-1.038,0.427
0.435,0.621,0.634,-0.854,-0.916,0.427
0.434,0.622,0.63,-0.793,-0.793,0.671
0.435,0.623,0.622,-0.488,-0.671,0.488
0.44,0.629,0.621,-0.244,-0.549,0.488
0.438,0.636,0.612,-0.61,-0.61,0.305
0.437,0.631,0.604,-0.854,-0.793,0.061
0.439,0.622,0.602,-1.038,-0.854,0.122
0.44,0.621,0.61,-1.099,-1.16,0.305
0.436,0.621,0.619,-1.282,-1.465,0.793
0.433,0.622,0.623,-1.77,-1.465,1.038
0.434,0.627,0.623,-2.197,-1.465,1.16
0.437,0.634,0.623,-2.136,-1.404,1.282
0.438,0.64,0.623,-1.282,-1.404,1.16
0.433,0.637,0.633,-0.244,-1.282,1.099
0.427,0.636,0.634,0.305,-0.916,0.854
0.43,0.631,0.627,0.61,-0.366,0.549
0.436,0.623,0.622,0.244,0.122,0.366
0.433,0.62,0.622,-0.427,0.183,0.61
0.398,0.698,0.835,-239.075,12.268,107.727
0.432,0.758,0.656,-236.328,18.921,108.948
0.448,0.929,0.512,-223.328,22.888,104.858
0.448,1.085,0.383,-194.702,25.146,95.337
0.471,1.172,0.309,-150.146,25.269,84.167
0.472,1.193,0.172,-104.675,24.658,75.134
0.412,1.261,0.09,-69.153,19.775,64.514
0.356,1.424,0.117,-37.415,13.184,48.95
0.329,1.547,0.165,0.366,8.606,29.419
0.315,1.683,0.203,43.396,6.409,8.85
