aX,aY,aZ,gX,gY,gZ
-0.018,-0.454,1.052,112.305,130.188,99.792
0.025,-0.495,0.981,120.544,130.493,109.07
0.078,-0.504,0.903,122.62,128.601,117.371
0.12,-0.492,0.816,120.667,123.901,124.023
0.146,-0.466,0.72,115.295,117.432,130.066
0.16,-0.457,0.66,103.638,109.863,135.01
0.2,-0.469,0.646,85.51,101.074,138
0.228,-0.484,0.66,64.087,91.064,140.015
0.23,-0.484,0.691,42.786,82.764,142.151
0.224,-0.442,0.687,28.992,76.66,143.677
0.206,-0.325,0.635,27.039,72.144,145.508
0.198,-0.196,0.622,31.372,67.993,146.484
0.216,-0.118,0.632,37.598,62.622,144.836
0.262,-0.074,0.621,50.11,56.58,142.7
0.297,-0.071,0.605,63.965,49.072,141.418
0.301,-0.134,0.623,73.547,40.466,139.282
0.306,-0.196,0.618,76.904,32.654,136.414
0.306,-0.244,0.621,75.928,25.757,133.545
0.305,-0.284,0.653,69.885,19.287,130.859
0.294,-0.261,0.648,63.232,13.55,127.625
0.295,-0.225,0.646,56.396,9.033,123.596
0.293,-0.196,0.657,48.218,4.272,119.08
0.294,-0.125,0.636,44.25,0.671,114.563
0.305,-0.092,0.619,40.955,-2.441,108.826
0.314,-0.096,0.649,38.757,-4.822,102.478
0.312,-0.101,0.651,37.598,-8.85,95.398
0.328,-0.09,0.693,37.476,-7.874,90.271
0.319,-0.117,0.705,38.33,-9.46,83.862
0.32,-0.172,0.682,38.818,-10.925,77.393
0.318,-0.216,0.723,34.79,-11.292,72.205
0.333,-0.215,0.784,26.794,-11.23,65.979
0.326,-0.166,0.839,19.287,-11.841,59.143
0.314,-0.089,0.852,18.372,-11.169,53.65
0.326,-0.061,0.855,20.02,-9.033,48.218
0.357,-0.067,0.828,24.536,-7.202,42.664
0.389,-0.134,0.817,29.297,-6.287,37.659
0.4,-0.215,0.823,31.067,-6.042,33.142
0.411,-0.251,0.831,28.687,-5.493,29.358
0.428,-0.289,0.832,22.705,-5.127,25.085
0.431,-0.313,0.823,16.113,-4.944,21.667
0.439,-0.32,0.832,9.155,-5.066,18.616
0.446,-0.303,0.867,1.099,-5.676,15.686
0.434,-0.261,0.89,-4.456,-5.005,12.695
0.442,-0.262,0.88,-4.578,-3.723,10.742
0.453,-0.288,0.88,-2.197,-2.258,10.193
0.47,-0.282,0.858,0.549,0,9.338
0.493,-0.295,0.854,1.465,0.977,7.446
0.499,-0.307,0.874,1.282,1.16,6.042
0.494,-0.301,0.87,0.671,1.892,4.944
0.492,-0.315,0.864,0.671,2.502,4.272
0.489,-0.328,0.842,1.831,3.174,3.967
0.499,-0.325,0.804,2.441,4.211,3.845
0.505,-0.328,0.759,3.296,4.395,3.723
0.507,-0.363,0.767,3.174,4.028,4.272
0.514,-0.372,0.797,2.136,3.296,5.066
0.519,-0.345,0.822,1.16,2.686,5.371
0.502,-0.327,0.836,0.916,1.953,4.944
0.501,-0.33,0.814,1.648,1.404,4.822
0.509,-0.331,0.811,2.563,1.221,4.639
0.513,-0.32,0.796,2.625,0.916,4.028
0.509,-0.341,0.807,1.282,0.122,3.906
0.496,-0.336,0.81,-0.671,-0.366,4.089
0.5,-0.332,0.81,-3.113,-0.671,3.784
0.498,-0.305,0.811,-5.249,-1.099,3.479
0.493,-0.287,0.805,-4.639,-1.038,2.991
0.476,-0.3,0.815,-2.136,-0.671,2.93
0.5,-0.312,0.83,-0.977,0.61,2.625
0.514,-0.289,0.817,-0.183,1.343,2.075
0.501,-0.306,0.815,1.831,0.244,1.953
0.501,-0.314,0.827,2.563,-0.061,1.343
0.504,-0.3,0.845,1.221,0.366,-0.061
0.503,-0.328,0.838,1.221,-0.183,-0.916
0.483,-0.341,0.849,0.732,-1.221,-0.916
0.482,-0.315,0.818,-0.549,-1.343,-1.465
0.491,-0.318,0.806,-2.014,-1.282,-1.709
0.49,-0.309,0.776,-3.784,-1.343,-1.282
0.49,-0.32,0.756,-5.676,-1.221,-0.488
0.493,-0.349,0.771,-6.897,-0.977,1.038
0.491,-0.354,0.808,-9.094,-0.61,1.709
0.486,-0.337,0.827,-11.047,-0.549,1.892
0.491,-0.3,0.835,-12.695,-0.122,1.526
0.495,-0.266,0.842,-13.916,0.244,0.488
0.484,-0.251,0.837,-12.756,0.488,-0.366
0.483,-0.271,0.821,-10.864,0.793,-1.282
0.49,-0.279,0.801,-9.094,1.343,-1.77
0.498,-0.275,0.782,-6.592,1.77,-1.953
0.503,-0.274,0.787,-3.54,1.709,-1.953
0.509,-0.278,0.787,-1.648,1.343,-2.625
0.51,-0.304,0.79,-0.61,0.488,-2.991
0.514,-0.304,0.776,-0.366,-0.122,-2.869
0.521,-0.311,0.756,-0.671,-0.305,-2.808
0.523,-0.345,0.751,-0.244,-1.099,-2.197
0.518,-0.35,0.783,0.793,-1.526,-0.732
0.516,-0.318,0.818,1.282,-1.77,0
0.519,-0.301,0.83,2.258,-2.136,0.427
0.516,-0.302,0.827,3.418,-2.625,0.671
0.514,-0.322,0.828,3.418,-2.991,0.916
0.507,-0.337,0.837,1.77,-3.296,1.16
0.5,-0.325,0.846,0.061,-3.296,1.709
0.501,-0.304,0.845,-0.549,-3.113,2.075
0.498,-0.295,0.856,-0.793,-3.052,2.197
0.5,-0.27,0.835,-0.854,-2.502,1.953
0.509,-0.279,0.828,-1.587,-1.953,1.831
0.509,-0.314,0.839,-3.113,-1.526,1.953
0.5,-0.331,0.86,-4.883,-0.793,2.319
0.497,-0.299,0.863,-5.127,0.488,2.563
0.508,-0.267,0.848,-4.517,1.953,2.38
-0.282,-0.504,1.356,26.367,42.358,21.606
-0.245,-0.506,1.359,30.212,54.749,25.208
