aX,aY,aZ,gX,gY,gZ
0.807,0.574,-0.04,-1.038,-1.038,0
0.805,0.574,-0.041,-0.916,-0.793,0.061
0.809,0.573,-0.041,-1.099,-0.549,0.305
0.81,0.573,-0.043,-1.221,-0.427,0.61
0.814,0.572,-0.039,-1.221,-0.305,1.282
0.817,0.572,-0.039,-0.854,-0.366,1.709
0.817,0.574,-0.043,-0.671,-0.488,2.075
0.816,0.575,-0.042,-0.244,-0.366,1.953
0.81,0.577,-0.042,-0.305,-0.122,1.892
0.81,0.58,-0.045,-0.305,-0.305,1.831
0.815,0.584,-0.042,0.366,-0.244,1.831
0.816,0.582,-0.042,0.549,-0.061,1.404
0.811,0.582,-0.042,0.61,0,1.282
0.805,0.579,-0.037,0.916,0.305,1.16
0.805,0.577,-0.035,0.671,0.427,0.854
0.81,0.579,-0.037,0.549,0.061,0.671
0.814,0.58,-0.037,0.732,-0.122,0.854
0.818,0.579,-0.039,0.671,-0.427,0.977
0.817,0.581,-0.042,0.671,-0.916,1.343
0.813,0.582,-0.042,0.793,-1.099,1.343
0.815,0.583,-0.043,1.038,-1.038,1.709
0.812,0.583,-0.044,1.099,-0.549,1.77
0.809,0.585,-0.044,1.099,0,1.648
0.809,0.583,-0.043,0.977,0.366,1.343
0.806,0.581,-0.042,0.854,0.793,0.916
0.805,0.58,-0.043,0.671,1.221,0.366
0.805,0.579,-0.043,0.366,1.404,0
0.806,0.579,-0.041,0.366,1.221,-0.366
0.807,0.578,-0.043,0,0.916,-0.549
0.81,0.579,-0.043,-0.488,0.854,-0.549
0.81,0.579,-0.045,-0.61,0.366,-0.427
0.81,0.578,-0.045,-0.305,0.122,-0.305
0.81,0.578,-0.044,0.061,0.061,0.061
0.809,0.579,-0.043,0.183,-0.122,0.183
0.807,0.578,-0.043,0.427,-0.549,0.305
0.806,0.576,-0.042,0.305,-0.549,0.488
0.804,0.577,-0.043,0.305,-0.671,0.427
0.808,0.577,-0.045,0.183,-0.427,0.488
0.819,0.581,-0.046,0.366,-0.427,0.427
0.822,0.584,-0.046,0.305,-0.366,0.671
0.818,0.581,-0.043,0.549,-0.305,0.977
0.807,0.578,-0.038,0.549,-0.122,1.465
0.806,0.576,-0.039,0.427,-0.305,1.709
0.812,0.579,-0.04,0.122,-0.488,1.526
0.811,0.579,-0.041,0.061,-0.549,1.587
0.812,0.578,-0.042,0.122,-0.732,1.648
0.807,0.578,-0.04,0.366,-0.977,1.831
0.808,0.578,-0.042,0.549,-1.099,2.075
0.807,0.58,-0.043,0.305,-1.16,1.953
0.806,0.58,-0.044,-0.061,-0.854,1.648
0.807,0.579,-0.04,-0.122,-0.427,1.526
0.812,0.579,-0.039,-0.427,-0.305,1.587
0.812,0.581,-0.038,-0.488,-0.549,1.343
0.814,0.581,-0.039,-0.549,-0.732,1.16
0.815,0.582,-0.041,-0.549,-0.732,1.221
0.813,0.585,-0.039,-0.427,-0.854,1.221
0.813,0.585,-0.038,-0.366,-1.038,1.282
0.811,0.582,-0.038,-0.305,-0.916,1.587
0.808,0.581,-0.038,-0.244,-0.732,1.404
0.806,0.579,-0.037,-0.549,-0.488,1.221
0.809,0.579,-0.039,-0.488,-0.549,1.099
0.812,0.58,-0.038,-0.61,-0.854,0.671
0.814,0.579,-0.039,-0.61,-0.732,0.244
0.811,0.578,-0.036,-0.366,-0.854,0.427
0.81,0.575,-0.037,-0.488,-0.977,0.305
0.812,0.575,-0.037,-0.305,-1.404,0.427
0.812,0.575,-0.039,-0.183,-1.221,0.244
0.814,0.577,-0.039,-0.061,-1.099,0.122
0.817,0.576,-0.037,-0.061,-0.854,0.305
0.843,0.594,-0.035,5.493,-1.709,6.714
0.789,0.601,-0.03,3.906,-3.357,7.019
0.793,0.592,-0.031,4.578,-4.761,7.446
0.82,0.58,-0.021,4.639,-4.211,7.568
0.823,0.552,-0.008,2.93,-4.15,7.019
0.789,0.529,-0.01,1.526,-5.066,5.981
0.778,0.537,-0.016,1.587,-6.714,4.15
0.806,0.561,-0.038,0.793,-7.141,1.709
0.812,0.566,-0.053,0.427,-6.226,-0.488
0.817,0.573,-0.054,1.465,-4.395,-1.77
0.819,0.582,-0.051,2.197,-2.197,-2.38
0.802,0.588,-0.048,2.38,0.122,-2.808
0.814,0.578,-0.047,1.404,2.197,-2.808
0.817,0.582,-0.041,0.793,4.15,-2.502
0.814,0.584,-0.038,0.244,4.822,-2.014
0.81,0.58,-0.029,0.305,4.395,-0.854
0.808,0.579,-0.022,0.305,3.174,0.732
0.807,0.584,-0.022,-0.427,1.038,1.648
0.81,0.587,-0.027,-1.221,-1.404,2.625
0.817,0.587,-0.034,-1.465,-3.174,3.784
0.822,0.587,-0.04,-1.648,-4.089,4.7
0.819,0.581,-0.043,-1.648,-3.784,4.883
0.819,0.573,-0.049,-1.648,-2.93,4.517
0.822,0.57,-0.055,-1.465,-1.526,3.723
0.823,0.569,-0.054,-1.221,0.183,2.625
0.82,0.566,-0.049,-0.732,1.831,1.526
0.813,0.562,-0.045,-0.427,3.357,0.61
0.809,0.559,-0.045,-0.732,4.089,-0.305
0.805,0.561,-0.047,-0.977,4.211,-0.977
0.805,0.567,-0.047,-0.732,4.028,-1.465
0.806,0.573,-0.043,-0.183,3.601,-1.587
0.806,0.578,-0.044,0.488,2.869,-1.16
0.81,0.58,-0.044,1.221,1.892,-0.549
0.814,0.583,-0.048,1.831,0.793,0.244
0.814,0.585,-0.05,2.258,0.244,0.671
0.811,0.581,-0.05,2.319,0.305,0.854
0.813,0.582,-0.048,1.892,0.305,0.732
0.813,0.584,-0.049,1.404,0.366,0.549
0.813,0.582,-0.046,1.343,0.549,0.427
0.813,0.582,-0.045,1.038,0.793,0.366
0.812,0.582,-0.04,0.61,0.793,0.122
0.811,0.582,-0.038,-0.183,0.488,-0.122
0.808,0.583,-0.042,-0.549,-0.183,-0.061
0.815,0.587,-0.044,-0.61,-0.793,0.244
0.817,0.586,-0.047,-0.366,-1.343,0.61
0.817,0.583,-0.049,0,-1.587,1.221
0.81,0.58,-0.047,0.061,-1.221,1.343
0.803,0.575,-0.047,-0.244,-0.916,1.465
0.806,0.575,-0.047,-0.61,-0.549,1.282
0.81,0.576,-0.048,-0.977,-0.244,1.038
0.812,0.575,-0.047,-1.221,-0.122,0.793
0.81,0.573,-0.047,-1.404,-0.366,0.732
0.809,0.571,-0.046,-0.916,-0.671,0.732
0.81,0.571,-0.047,-0.732,-0.916,0.732
0.814,0.572,-0.05,-0.366,-1.099,0.549
0.816,0.572,-0.048,0.183,-0.854,0.61
0.813,0.575,-0.045,0.305,-0.732,0.488
0.813,0.575,-0.047,0.427,-0.916,0.61
