aX,aY,aZ,gX,gY,gZ
0.147,0.036,0.89,0.61,-3.662,-11.108
0.146,0.011,0.881,3.967,-8.057,-11.169
0.085,-0.003,0.852,7.507,-11.902,-9.949
0.185,-0.006,0.866,14.038,-9.644,-11.475
0.188,-0.028,0.829,22.949,-12.695,-9.216
0.173,-0.11,0.813,26.978,-18.188,-8.423
0.157,-0.112,0.89,27.954,-23.01,-6.836
0.129,-0.189,0.913,23.132,-25.33,-4.639
0.144,-0.203,0.979,19.653,-25.024,-2.197
0.207,-0.203,1.091,14.771,-24.048,0.305
0.183,-0.191,1.05,5.676,-25.879,4.395
0.137,-0.096,1.069,2.686,-28.87,4.272
0.156,-0.083,1.049,2.93,-24.231,3.601
0.189,-0.09,1.037,5.188,-19.348,5.066
0.181,-0.107,1.04,6.958,-18.677,6.47
0.189,-0.127,1.034,6.226,-16.174,6.47
0.185,-0.118,1.012,4.456,-14.526,6.47
0.176,-0.093,1.01,3.296,-12.329,5.676
0.163,-0.09,1.014,2.319,-9.094,5.859
0.163,-0.091,1.004,0.793,-5.554,6.348
0.152,-0.059,1.028,-1.831,-2.075,6.47
0.155,-0.02,1.045,-0.732,1.038,5.859
0.136,-0.041,1.045,2.991,4.395,4.944
0.147,-0.078,0.991,4.089,7.935,4.333
0.143,-0.05,0.986,6.348,9.644,4.333
0.141,-0.101,0.969,5.554,10.925,4.089
0.142,-0.072,0.978,6.165,10.62,4.456
0.139,-0.065,0.973,7.996,10.315,4.089
0.132,-0.091,0.968,9.399,9.521,4.028
0.132,-0.116,0.972,6.836,8.545,3.54
0.131,-0.115,0.98,3.479,7.141,3.418
0.134,-0.079,0.97,1.282,5.493,3.54
0.134,-0.041,0.97,0.488,4.028,3.052
0.134,-0.035,0.972,1.16,2.93,2.441
0.136,-0.057,0.968,2.258,2.258,2.075
0.14,-0.065,0.963,3.113,1.709,1.953
0.142,-0.067,0.964,2.075,0.854,1.831
0.144,-0.067,0.966,0.61,0.061,1.77
0.148,-0.065,0.962,0.122,-0.732,1.892
0.153,-0.051,0.944,0.366,-1.526,1.953
0.155,-0.058,0.941,1.343,-2.38,1.953
0.156,-0.088,0.935,0.793,-2.869,1.587
0.159,-0.071,0.948,0.061,-3.418,1.587
0.156,-0.066,0.961,0,-3.967,1.77
0.155,-0.075,0.965,0.793,-4.211,1.892
0.153,-0.068,0.972,1.587,-3.784,1.892
0.148,-0.078,0.985,1.282,-3.174,1.404
0.146,-0.085,0.99,0.671,-2.563,1.038
0.145,-0.084,0.997,0.549,-1.892,1.038
0.144,-0.086,0.998,0.793,-1.343,1.282
0.145,-0.079,0.994,1.526,-0.977,1.343
0.145,-0.076,0.987,2.197,-0.488,0.793
0.145,-0.083,0.983,2.502,0,0.549
0.143,-0.083,0.981,2.747,0.122,0.061
0.141,-0.087,0.98,2.991,0.244,0.122
0.142,-0.087,0.974,3.418,0.183,0.366
0.142,-0.083,0.97,4.272,0.122,0.244
0.139,-0.093,0.967,4.272,-0.183,0.305
0.144,-0.106,0.958,2.563,-0.427,-0.061
0.143,-0.112,0.966,0.793,-0.916,0.061
0.145,-0.108,0.967,-0.122,-1.465,0.732
0.146,-0.095,0.969,-0.183,-1.77,1.465
0.148,-0.085,0.967,0.488,-1.953,1.892
0.148,-0.082,0.971,1.404,-1.831,1.892
0.147,-0.08,0.978,2.319,-1.709,1.953
0.146,-0.08,0.979,2.563,-1.221,1.953
0.147,-0.082,0.977,2.869,-0.854,1.892
0.145,-0.08,0.978,2.991,-0.61,1.892
0.146,-0.083,0.977,3.296,-0.427,1.709
0.142,-0.091,0.981,3.235,-0.183,1.526
0.142,-0.093,0.978,2.686,-0.122,1.404
0.142,-0.089,0.981,2.014,0.122,1.282
0.141,-0.088,0.984,1.343,0.244,1.221
0.143,-0.087,0.975,0.977,0.305,0.916
0.142,-0.089,0.976,0.793,0.488,0.488
0.141,-0.093,0.981,0.671,0.488,0.427
0.142,-0.095,0.979,0.977,0.244,0.61
0.143,-0.094,0.976,1.221,0.305,0.671
0.162,-0.686,1.83,47.424,19.897,4.639
0.179,-0.516,1.251,-0.244,24.536,6.165
0.246,-0.247,0.897,-36.011,23.56,7.629
0.194,-0.065,0.837,-50.598,18.005,9.888
0.18,-0.08,0.863,-41.687,22.217,9.888
0.16,-0.121,0.868,-22.339,29.785,9.277
0.218,-0.148,0.802,-8.85,33.569,5.432
0.21,-0.118,0.779,-5.371,28.259,2.808
0.162,-0.139,0.808,-7.874,20.996,0.244
0.183,-0.141,0.912,-10.315,18.127,-0.916
0.163,-0.096,0.978,-19.287,13.733,0.427
0.16,-0.03,1.001,-22.461,10.803,2.319
0.145,-0.163,0.951,-24.475,9.216,2.747
0.15,-0.081,0.894,-25.574,6.775,4.578
0.138,-0.03,0.877,-27.405,1.892,3.723
0.155,0.01,0.862,-26.733,-2.136,2.625
0.2,-0.065,0.869,-24.719,-2.747,2.319
0.217,-0.032,0.937,-24.292,-3.845,3.174
0.215,0.029,0.914,-24.78,-4.761,1.465
0.211,0.006,0.912,-27.649,-7.08,0.122
0.208,0.004,0.95,-24.963,-8.118,0.183
0.207,-0.085,0.948,-19.226,-7.019,1.343
0.201,-0.08,0.971,-18.066,-6.592,2.93
0.194,-0.011,0.993,-17.151,-7.141,2.808
0.185,-0.004,1.009,-14.526,-7.08,1.953
0.176,0.005,1.01,-11.23,-6.592,1.465
0.171,0.025,1.001,-7.507,-6.409,0.366
0.177,0,0.969,-2.258,-6.409,-0.61
0.193,-0.029,0.943,2.869,-6.47,-0.671
0.194,-0.026,0.93,5.554,-7.263,-1.16
0.183,-0.031,0.955,8.118,-8.667,-1.465
0.189,-0.072,0.968,11.414,-8.362,-1.038
