aX,aY,aZ,gX,gY,gZ,gesture
0.399,-0.736,0.165,30.579,-29.175,53.04,1
0.395,-0.74,0.16,29.053,-28.748,49.927,1
0.416,-0.731,0.177,26.001,-27.649,46.936,1
0.41,-0.728,0.173,23.315,-27.1,43.823,1
0.417,-0.717,0.171,20.325,-26.55,40.771,1
0.424,-0.703,0.168,17.456,-25.879,37.964,1
0.425,-0.688,0.154,15.564,-25.513,34.973,1
0.436,-0.702,0.143,14.404,-25.024,31.982,1
0.444,-0.701,0.143,12.756,-24.353,29.419,1
0.448,-0.712,0.146,11.414,-24.109,27.161,1
0.456,-0.709,0.144,10.132,-23.743,25.146,1
0.466,-0.733,0.153,7.812,-23.499,23.987,1
0.469,-0.752,0.144,6.531,-23.01,22.827,1
0.48,-0.752,0.13,5.371,-22.095,20.63,1
0.483,-0.742,0.116,4.211,-21.057,18.616,1
0.496,-0.723,0.078,4.944,-19.653,16.479,1
0.502,-0.713,0.077,5.554,-18.372,14.587,1
0.512,-0.719,0.083,8.24,-16.907,13.245,1
0.531,-0.746,0.094,10.864,-14.587,11.841,1
0.551,-0.755,0.11,12.512,-12.695,10.559,1
0.557,-0.783,0.119,14.343,-11.597,10.62,1
0.577,-0.8,0.124,13.611,-11.108,9.949,1
0.58,-0.792,0.129,10.376,-10.742,8.24,1
0.578,-0.787,0.13,6.226,-10.681,7.446,1
0.574,-0.778,0.142,2.075,-10.498,6.653,1
0.583,-0.779,0.152,1.099,-10.376,5.798,1
0.573,-0.771,0.172,1.099,-10.01,4.639,1
0.564,-0.779,0.182,1.892,-9.46,3.601,1
0.573,-0.8,0.171,1.77,-8.789,2.869,1
0.586,-0.819,0.133,0,-8.484,2.441,1
0.605,-0.832,0.099,-3.113,-9.277,2.258,1
0.618,-0.825,0.068,-7.751,-10.986,2.258,1
0.634,-0.796,0.085,-12.634,-13.062,2.502,1
0.581,-0.774,0.101,-12.024,-14.465,2.93,1
0.601,-0.77,0.115,-7.507,-13.245,0.671,1
0.61,-0.785,0.111,-2.747,-11.414,-0.732,1
0.626,-0.812,0.093,0.366,-10.62,-0.732,1
0.621,-0.814,0.092,1.526,-10.559,0.061,1
0.631,-0.82,0.097,1.831,-10.803,0.061,1
0.641,-0.836,0.107,1.099,-11.536,0,1
0.631,-0.827,0.118,-1.16,-12.756,0.732,1
0.615,-0.805,0.129,-2.563,-13.489,1.404,1
0.62,-0.803,0.126,-1.221,-13,1.831,1
0.617,-0.804,0.125,1.648,-11.719,2.075,1
0.614,-0.826,0.143,5.127,-10.925,2.441,1
0.602,-0.843,0.169,7.629,-9.888,3.113,1
0.593,-0.859,0.185,7.874,-8.911,3.784,1
0.589,-0.873,0.193,5.981,-8.301,4.7,1
0.593,-0.865,0.196,2.38,-8.362,5.615,1
0.598,-0.849,0.175,-0.61,-8.85,6.47,1
0.596,-0.835,0.167,-2.197,-9.094,7.507,1
0.577,-0.82,0.165,-2.747,-9.094,8.301,1
0.587,-0.81,0.156,-2.93,-8.606,8.057,1
0.592,-0.798,0.14,-2.747,-7.874,7.324,1
0.59,-0.805,0.141,-2.625,-7.69,6.714,1
0.582,-0.817,0.146,-2.502,-7.568,6.653,1
0.577,-0.835,0.157,-2.258,-7.141,6.836,1
0.584,-0.838,0.171,-2.93,-6.531,7.019,1
0.579,-0.826,0.178,-4.089,-6.165,7.324,1
0.562,-0.805,0.184,-5.249,-5.676,7.446,1
0.558,-0.796,0.191,-5.249,-4.333,7.629,1
0.568,-0.803,0.191,-4.333,-2.686,7.385,1
0.574,-0.812,0.179,-4.089,-1.282,7.202,1
0.579,-0.807,0.168,-4.028,-0.305,6.897,1
0.581,-0.8,0.169,-4.395,0.183,6.226,1
0.583,-0.797,0.169,-5.249,0.244,5.066,1
0.582,-0.789,0.159,-5.737,0.183,3.723,1
0.582,-0.779,0.161,-5.615,0.366,2.319,1
0.583,-0.783,0.154,-5.188,0.305,1.038,1
0.583,-0.794,0.151,-5.249,0.366,0.061,1
0.582,-0.789,0.155,-5.92,0.488,-0.671,1
0.579,-0.778,0.149,-6.348,0.549,-1.282,1
0.577,-0.768,0.141,-4.883,0.916,-1.892,1
0.581,-0.78,0.141,-2.686,1.77,-2.319,1
0.584,-0.786,0.143,-2.014,2.625,-2.319,1
0.586,-0.782,0.144,-1.953,3.235,-2.197,1
0.592,-0.788,0.151,-1.16,3.54,-2.502,1
0.589,-0.789,0.158,-0.793,3.784,-2.625,1
0.588,-0.791,0.164,-0.854,3.54,-2.563,1
0.601,-0.797,0.168,-0.793,3.723,-2.502,1
0.604,-0.793,0.168,-1.16,3.845,-2.563,1
0.61,-0.792,0.166,-1.16,4.15,-2.563,1
0.614,-0.788,0.164,-1.221,4.211,-2.808,1
0.618,-0.781,0.152,-1.099,4.028,-3.052,1
0.618,-0.789,0.154,-0.671,3.784,-3.357,1
0.614,-0.784,0.156,-0.671,3.845,-3.174,1
0.613,-0.789,0.147,-0.488,4.211,-3.235,1
0.614,-0.799,0.132,-0.122,4.028,-3.235,1
0.614,-0.81,0.124,0.122,3.723,-3.113,1
0.343,-1.314,0.402,79.651,-37.903,26.855,1
