aX,aY,aZ,gX,gY,gZ
0.513,-0.857,0.268,0.183,-0.244,4.517
0.509,-0.836,0.269,-0.732,-0.366,4.944
0.505,-0.832,0.277,-0.244,-0.366,4.883
0.501,-0.83,0.282,0.671,-0.305,4.578
0.501,-0.834,0.279,0.854,-0.061,4.456
0.509,-0.839,0.273,0.732,0.244,4.395
0.511,-0.843,0.265,0.488,0.488,4.272
0.511,-0.842,0.261,0.061,0.488,4.15
0.508,-0.832,0.263,-0.732,0.305,4.028
0.506,-0.821,0.262,-0.671,0.244,4.028
0.512,-0.825,0.258,0.366,0.305,3.662
0.516,-0.836,0.255,1.282,0.488,3.235
0.517,-0.842,0.254,1.404,0.427,2.991
0.514,-0.844,0.253,1.343,0.305,2.747
0.51,-0.843,0.259,1.099,0,2.441
0.505,-0.837,0.265,1.343,-0.244,2.136
0.506,-0.837,0.259,2.014,0,2.014
0.513,-0.844,0.252,2.563,0.244,1.953
0.513,-0.845,0.255,3.052,0.305,2.014
0.511,-0.852,0.257,2.991,0.427,1.709
0.521,-0.865,0.262,2.93,0.61,1.465
0.521,-0.866,0.261,2.991,0.61,1.282
0.251,-1.263,0.599,70.74,-64.148,-1.282
0.286,-1.29,0.638,65.857,-58.289,6.958
0.297,-1.255,0.69,61.829,-52.673,14.832
0.291,-1.187,0.742,63.232,-46.204,22.827
0.268,-1.132,0.745,70.801,-38.513,29.663
0.254,-1.129,0.707,80.811,-30.64,36.865
0.261,-1.153,0.653,88.074,-23.621,44.617
0.276,-1.169,0.612,89.966,-18.555,53.833
0.296,-1.161,0.561,89.905,-15.32,63.416
0.299,-1.14,0.528,87.463,-14.648,69.58
0.297,-1.104,0.517,83.313,-15.686,77.209
0.261,-1.007,0.449,84.961,-15.137,80.383
0.26,-0.975,0.413,92.529,-15.076,82.642
0.248,-0.947,0.391,100.037,-16.052,84.473
0.235,-0.933,0.378,104.248,-17.212,85.571
0.24,-0.917,0.355,106.75,-18.799,86.121
0.235,-0.892,0.342,109.192,-20.63,86.731
0.235,-0.879,0.335,109.253,-23.499,85.51
0.236,-0.864,0.324,107.483,-26.794,84.106
0.237,-0.879,0.308,103.149,-30.762,83.801
0.252,-0.898,0.285,93.689,-34.973,82.642
0.248,-0.896,0.269,80.322,-40.1,81.116
0.239,-0.86,0.259,66.772,-44.617,79.651
0.225,-0.795,0.245,55.115,-48.035,77.637
0.204,-0.729,0.219,50.171,-49.927,75.439
0.204,-0.73,0.212,48.645,-50.72,73.425
0.214,-0.728,0.227,48.157,-51.514,71.777
0.223,-0.721,0.247,48.096,-52.124,69.458
0.228,-0.724,0.268,48.34,-52.002,66.833
0.224,-0.741,0.29,48.706,-51.453,64.392
0.238,-0.741,0.312,48.096,-51.025,62.5
0.238,-0.741,0.295,48.401,-50.171,60.608
0.253,-0.748,0.262,47.119,-48.462,59.082
0.275,-0.76,0.279,42.297,-47.668,57.617
0.268,-0.752,0.304,34.851,-48.096,55.115
0.274,-0.725,0.329,27.832,-47.913,53.223
0.272,-0.694,0.332,23.499,-47.607,51.025
0.287,-0.696,0.301,22.156,-46.509,49.377
0.303,-0.724,0.294,19.287,-45.044,47.852
0.309,-0.732,0.289,13.977,-44.067,46.387
0.318,-0.731,0.293,8.179,-42.664,44.312
0.31,-0.759,0.334,-1.099,-41.26,42.053
0.3,-0.689,0.367,-14.648,-39.246,39.856
0.318,-0.633,0.372,-21.79,-37.72,36.682
0.339,-0.62,0.381,-19.348,-35.706,32.593
0.342,-0.662,0.406,-12.878,-33.081,28.809
0.34,-0.716,0.42,-11.292,-29.48,25.452
0.353,-0.728,0.419,-17.273,-25.94,23.376
0.385,-0.708,0.422,-25.024,-23.071,21.118
0.387,-0.663,0.444,-28.503,-20.691,17.944
0.373,-0.647,0.468,-23.315,-17.7,14.16
0.385,-0.662,0.476,-13.245,-13.794,10.01
0.391,-0.703,0.459,-4.822,-10.071,6.042
0.402,-0.734,0.437,-0.549,-6.958,3.174
0.421,-0.756,0.407,1.282,-4.395,1.404
0.432,-0.76,0.374,1.16,-2.869,-0.183
0.438,-0.77,0.361,0.427,-2.014,-1.587
0.446,-0.779,0.361,-0.488,-1.648,-2.808
0.442,-0.783,0.361,-1.648,-1.343,-3.906
0.443,-0.781,0.349,-1.038,-0.61,-4.517
0.447,-0.796,0.342,1.831,0.427,-5.066
0.453,-0.826,0.332,4.517,1.282,-5.615
0.46,-0.85,0.315,5.127,1.77,-5.676
0.461,-0.845,0.296,4.333,1.709,-5.249
0.458,-0.841,0.286,3.845,1.038,-4.761
0.457,-0.841,0.282,4.272,0.183,-4.395
0.453,-0.854,0.293,4.883,-0.488,-4.15
0.45,-0.861,0.304,4.456,-0.977,-3.601
0.454,-0.865,0.315,3.662,-1.282,-3.052
0.455,-0.863,0.319,3.235,-1.404,-1.831
0.459,-0.858,0.316,2.808,-1.587,-1.221
0.463,-0.849,0.314,2.258,-1.77,-0.488
0.463,-0.846,0.315,2.808,-2.014,-0.061
0.464,-0.841,0.316,3.418,-2.136,0.061
0.466,-0.853,0.316,4.15,-2.014,0.305
0.469,-0.861,0.319,4.333,-1.892,0.549
0.465,-0.863,0.333,3.601,-2.136,0.671
0.458,-0.86,0.352,2.319,-2.014,0.549
0.452,-0.856,0.366,1.77,-2.014,0.122
0.45,-0.855,0.367,1.892,-1.648,-0.183
0.453,-0.861,0.357,1.953,-1.099,-0.183
0.456,-0.863,0.352,1.038,-0.732,-0.061
0.46,-0.862,0.343,-0.061,-0.427,0.427
0.456,-0.846,0.336,-0.122,-0.061,0.916
0.455,-0.844,0.335,1.099,0.366,1.038
0.455,-0.862,0.323,2.075,0.732,0.854
0.455,-0.872,0.313,2.136,1.16,0.793
0.461,-0.876,0.303,1.709,1.526,1.343
0.46,-0.877,0.302,1.465,1.404,1.648
0.459,-0.883,0.305,1.099,1.16,1.831
0.458,-0.876,0.305,0.488,0.977,1.953
0.452,-0.868,0.308,0.061,0.732,2.014
0.45,-0.876,0.304,-0.061,0.366,1.892
0.446,-0.883,0.299,0.183,0.122,2.441
0.442,-0.88,0.297,0.427,0.061,3.357
0.44,-0.878,0.3,-0.061,-0.366,3.845
0.443,-0.869,0.302,-0.671,-0.61,3.967
0.447,-0.856,0.3,-1.099,-0.854,3.967
0.451,-0.854,0.303,-0.671,-0.854,3.906
0.455,-0.852,0.307,-0.427,-0.854,4.028
0.457,-0.85,0.303,-0.488,-0.671,3.784
0.458,-0.844,0.304,-1.282,-0.549,3.784
0.459,-0.844,0.309,-1.404,-0.549,3.784
0.456,-0.845,0.32,-1.282,-0.793,3.357
0.457,-0.841,0.337,-1.282,-0.671,3.052
0.457,-0.842,0.348,-0.488,-0.427,2.747
0.456,-0.839,0.345,0.061,-0.122,2.075
0.459,-0.839,0.337,0.061,0.122,1.587
0.467,-0.845,0.325,-0.122,0.549,1.404
0.467,-0.839,0.317,-0.61,0.671,1.282
0.468,-0.846,0.315,-0.61,0.916,1.526
0.464,-0.841,0.314,-0.549,0.977,1.526
0.46,-0.844,0.314,-0.671,0.854,1.587
0.458,-0.849,0.319,-1.099,1.099,1.648
0.46,-0.851,0.319,-1.77,1.343,1.709
0.465,-0.845,0.316,-1.892,1.282,1.648
0.463,-0.826,0.316,-1.343,1.038,1.465
0.463,-0.825,0.318,1.221,1.038,1.465
0.46,-0.829,0.309,3.906,1.221,1.404
0.121,-1.264,0.676,67.444,-44.678,0.122
0.115,-1.265,0.708,62.012,-40.405,7.324
0.103,-1.232,0.72,63.599,-34.058,15.381
0.093,-1.223,0.718,67.017,-26.733,23.01
0.104,-1.219,0.7,69.885,-19.287,30.884
0.129,-1.22,0.66,70.007,-12.695,39.246
0.15,-1.222,0.635,67.2,-9.155,46.143
0.139,-1.164,0.602,66.467,-7.141,52.612
0.14,-1.09,0.58,70.862,-4.272,59.143
0.136,-1.065,0.55,77.026,-2.197,63.721
0.131,-1.039,0.502,82.825,-1.099,67.688
0.154,-0.993,0.472,88.257,0.366,71.716
0.155,-0.943,0.441,95.52,1.221,74.646
0.161,-0.949,0.409,102.905,0.732,76.233
0.18,-0.937,0.386,110.474,-0.061,77.759
0.178,-0.907,0.351,117.737,-1.343,78.43
0.185,-0.907,0.321,123.779,-2.808,78.979
0.197,-0.926,0.293,127.502,-4.883,80.261
0.21,-0.939,0.27,127.625,-8.423,81.482
0.208,-0.939,0.28,121.582,-12.817,80.872
0.198,-0.927,0.27,115.051,-17.456,79.895
0.21,-0.919,0.274,104.004,-21.912,77.209
0.2,-0.908,0.284,89.539,-26.611,74.585
0.206,-0.895,0.281,74.463,-30.945,72.937
0.202,-0.869,0.274,60.547,-34.668,70.923
0.188,-0.831,0.261,49.438,-38.269,68.848
0.18,-0.792,0.233,41.199,-40.588,66.406
0.188,-0.803,0.23,34.058,-42.542,64.087
0.199,-0.788,0.22,28.687,-44.617,62.134
0.198,-0.789,0.232,26.917,-45.776,60.547
0.198,-0.792,0.277,25.33,-45.715,58.35
0.184,-0.785,0.305,24.597,-45.044,55.847
0.21,-0.792,0.326,23.987,-43.396,54.321
0.208,-0.79,0.342,23.01,-41.809,52.368
0.204,-0.783,0.341,20.874,-40.588,50.232
0.21,-0.773,0.342,17.456,-39.429,48.157
0.216,-0.76,0.335,13.733,-38.269,46.021
0.226,-0.76,0.328,10.01,-37.292,43.701
0.23,-0.743,0.321,6.775,-36.133,41.382
0.246,-0.735,0.286,5.432,-34.424,39.001
0.263,-0.747,0.271,3.662,-32.471,36.743
0.275,-0.742,0.267,2.563,-30.762,35.278
0.284,-0.759,0.288,2.136,-29.541,32.532
0.285,-0.767,0.305,1.526,-27.832,29.419
0.283,-0.785,0.319,2.258,-25.696,26.978
0.292,-0.79,0.331,3.54,-23.804,24.902
0.293,-0.804,0.331,4.639,-22.644,22.705
0.302,-0.806,0.324,4.272,-21.24,20.386
0.315,-0.816,0.305,3.601,-20.02,18.677
0.318,-0.809,0.302,3.235,-18.86,17.09
0.325,-0.811,0.282,4.211,-17.761,16.113
0.327,-0.82,0.256,6.592,-16.296,15.625
0.359,-0.85,0.215,9.949,-14.893,15.93
0.37,-0.88,0.205,12.268,-14.771,15.442
0.357,-0.889,0.209,13.489,-14.099,15.259
0.352,-0.911,0.222,15.808,-13.367,15.869
0.354,-0.928,0.241,15.991,-12.695,16.052
0.355,-0.935,0.252,13.428,-12.695,16.296
