aX,aY,aZ,gX,gY,gZ
0.355,-0.442,0.853,-101.013,5.249,61.218
0.358,-0.39,0.861,-102.966,4.517,62.073
0.35,-0.355,0.856,-100.159,4.639,63.049
0.351,-0.349,0.84,-95.581,5.005,64.148
0.352,-0.321,0.827,-94.849,5.005,64.392
0.337,-0.278,0.825,-95.337,4.272,64.026
0.333,-0.24,0.806,-93.689,3.845,63.049
0.34,-0.222,0.785,-89.6,4.028,61.707
0.327,-0.204,0.768,-85.144,4.517,61.035
0.311,-0.17,0.736,-80.994,5.798,61.096
0.327,-0.148,0.73,-80.078,8.118,59.998
0.332,-0.125,0.742,-81.177,8.301,58.044
0.319,-0.106,0.751,-78.369,6.165,55.176
0.323,-0.114,0.753,-71.655,4.578,53.223
0.33,-0.094,0.76,-64.88,3.845,52.124
0.321,-0.089,0.763,-56.702,4.028,51.758
0.324,-0.111,0.771,-49.744,5.798,52.063
0.334,-0.092,0.779,-46.936,7.019,51.941
0.342,-0.057,0.775,-45.959,7.202,50.415
0.351,-0.058,0.767,-44.495,6.287,48.401
0.344,-0.058,0.763,-44.25,5.066,46.875
0.337,-0.036,0.746,-44.556,4.028,45.288
0.334,-0.037,0.749,-45.288,3.906,44.006
0.334,-0.027,0.75,-45.715,3.54,43.213
0.345,-0.012,0.758,-45.349,3.235,42.297
0.349,0.017,0.767,-41.748,3.357,41.077
0.355,0.021,0.767,-35.217,3.418,40.222
0.37,0.034,0.779,-31.006,4.028,38.94
0.377,0.049,0.788,-28.809,3.906,37.537
0.367,0.029,0.795,-26.611,3.784,36.377
0.369,0.032,0.802,-24.658,3.723,35.4
0.381,0.046,0.806,-22.888,4.15,34.363
0.384,0.069,0.796,-21.851,4.272,33.325
0.377,0.074,0.788,-21.301,4.089,32.166
0.372,0.067,0.81,-22.827,3.723,31.372
0.374,0.068,0.819,-25.208,3.235,30.701
0.385,0.062,0.826,-26.184,2.686,30.029
0.381,0.068,0.838,-25.33,2.38,29.297
0.382,0.087,0.836,-22.095,2.258,28.87
0.38,0.077,0.839,-18.921,2.441,27.832
0.382,0.072,0.833,-17.273,2.991,27.283
0.395,0.083,0.84,-16.968,3.357,26.489
0.398,0.095,0.86,-18.677,3.235,25.635
0.401,0.116,0.867,-21.545,2.502,24.17
0.401,0.157,0.866,-22.949,1.587,22.644
0.391,0.177,0.855,-20.508,0.916,21.545
0.388,0.174,0.846,-18.25,0.854,20.874
0.391,0.183,0.848,-17.273,1.404,20.081
0.399,0.186,0.857,-15.808,2.014,19.043
0.411,0.19,0.852,-14.282,2.502,17.517
0.419,0.187,0.843,-13.184,1.831,15.991
0.419,0.186,0.87,-12.939,1.16,14.221
0.42,0.187,0.883,-11.169,0.854,12.451
0.427,0.181,0.886,-7.507,1.16,11.719
0.428,0.17,0.885,-3.967,1.892,11.475
0.432,0.181,0.872,-2.502,2.197,10.986
0.429,0.193,0.852,-2.075,1.953,10.01
0.423,0.177,0.855,-2.808,1.16,8.789
0.419,0.172,0.866,-5.615,0.549,7.629
0.42,0.165,0.873,-9.033,-0.793,6.714
0.417,0.154,0.877,-11.658,-2.136,6.47
0.418,0.141,0.877,-12.878,-3.357,6.165
0.414,0.149,0.88,-14.343,-4.028,6.104
0.41,0.168,0.886,-14.954,-4.272,5.676
0.408,0.18,0.892,-14.587,-3.784,5.249
0.407,0.19,0.899,-13.977,-2.747,4.7
0.413,0.199,0.888,-13.245,-1.404,3.967
0.423,0.194,0.885,-12.207,-0.366,3.357
0.423,0.198,0.875,-10.925,-0.061,2.747
0.419,0.21,0.855,-7.935,-0.122,2.441
0.417,0.204,0.852,-3.601,0.061,1.831
0.41,0.195,0.857,-0.732,0.61,1.953
0.414,0.188,0.863,0.916,1.221,2.38
0.421,0.18,0.877,0.977,2.075,2.075
0.424,0.172,0.89,0.427,2.38,1.404
0.435,0.167,0.901,-0.671,3.052,0.732
0.442,0.178,0.896,-1.892,3.418,0.305
0.439,0.181,0.883,-1.831,3.54,-0.061
0.433,0.172,0.877,-0.793,3.662,0.305
0.432,0.17,0.879,0.244,3.54,1.16
0.433,0.148,0.879,-0.183,3.662,2.197
0.439,0.135,0.885,-2.502,4.028,2.38
0.446,0.151,0.873,-5.31,3.906,2.075
0.447,0.165,0.865,-6.897,3.296,2.075
0.433,0.161,0.861,-7.385,2.502,2.075
0.428,0.178,0.856,-7.141,2.075,2.38
0.427,0.202,0.867,-4.7,2.563,2.38
0.42,0.19,0.867,-0.732,3.357,2.563
0.435,0.172,0.86,1.404,4.089,3.052
0.444,0.165,0.869,0.488,4.517,3.174
0.445,0.172,0.88,-2.014,4.333,3.052
0.438,0.18,0.884,-4.211,3.662,2.563
0.434,0.185,0.88,-5.615,3.052,2.258
0.382,-0.654,0.964,-54.016,5.127,35.522
0.396,-0.64,0.981,-54.138,8.179,38.208
0.416,-0.611,0.982,-55.298,10.376,39.185
0.416,-0.604,0.979,-57.434,11.902,40.588
0.412,-0.606,0.973,-59.265,12.634,42.358
0.414,-0.608,0.967,-60.425,13.184,44.373
0.41,-0.615,0.958,-61.829,13.611,47.18
0.415,-0.616,0.941,-65.247,13.794,50.354
0.413,-0.57,0.934,-68.726,13.916,52.979
0.407,-0.556,0.937,-68.787,14.771,54.749
0.42,-0.548,0.937,-68.848,16.296,56.091
0.438,-0.501,0.922,-71.167,16.785,56.885
0.436,-0.444,0.886,-73.73,16.418,57.495
0.443,-0.41,0.856,-77.271,16.052,57.861
